"filename", "language", "TypeScript", "MS SQL", "TypeScript JSX", "JSON", "JavaScript", "PostCSS", "comment", "blank", "total"
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/private-groups/private-groups.controller.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/private-groups/private-groups.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/private-groups/private-groups.service.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 11, 16, 129
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/properties/dto/update-property.dto.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/properties/properties.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 1, 4, 29
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/public/public.controller.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/settings/settings.controller.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/settings/settings.module.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/settings/settings.service.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 12, 98
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/shortlists/shortlists.controller.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 12, 76
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/shortlists/shortlists.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/zerone/Documents/Coding/projectProp/apps/backend/src/modules/shortlists/shortlists.service.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 2, 13, 135
"/Users/zerone/Documents/Coding/projectProp/apps/dashboard/next.config.ts", "TypeScript", -8, 0, 0, 0, 0, 0, 13, 3, 8
